iter	Passed	Remaining
0	0	97
1	1	90
2	2	84
3	5	143
4	6	131
5	7	119
6	8	111
7	9	104
8	9	99
9	10	94
10	11	91
11	11	87
12	12	84
13	13	81
14	14	81
15	15	79
16	16	80
17	17	80
18	18	79
19	19	78
20	20	78
21	22	79
22	23	77
23	24	76
24	24	74
25	26	74
26	26	72
27	27	71
28	29	71
29	30	70
30	31	69
31	31	67
32	32	66
33	33	65
34	34	63
35	35	62
36	35	60
37	36	59
38	37	58
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	40	50
45	41	48
46	42	47
47	43	46
48	44	46
49	45	45
50	45	44
51	46	43
52	47	42
53	48	40
54	48	39
55	49	38
56	49	37
57	50	36
58	51	35
59	52	34
60	52	33
61	53	32
62	54	31
63	54	30
64	55	29
65	56	29
66	56	28
67	58	27
68	58	26
69	59	25
70	60	24
71	60	23
72	61	22
73	62	21
74	63	21
75	63	20
76	64	19
77	65	18
78	65	17
79	66	16
80	67	15
81	67	14
82	68	14
83	69	13
84	69	12
85	70	11
86	71	10
87	72	9
88	73	9
89	73	8
90	74	7
91	75	6
92	76	5
93	76	4
94	77	4
95	78	3
96	78	2
97	79	1
98	80	0
99	80	0
